dataset,gap,method,mae,rmse,max_error,coverage,time_ms,gap_fraction,n_az,n_rg,az_res_deg,width_pixels
smooth,random_10,linear_1d_az,3.264760571377788e-05,5.381414191917803e-05,0.0008660782851616089,1.0,25.846583070233464,0.10028888888888889,720,1000,0.5,5.0
smooth,random_10,linear_2d_griddata,3.1202551959119388e-06,9.738207527131792e-06,0.0010312943365016133,1.0,38982.86304192152,0.10028888888888889,720,1000,0.5,5.0
smooth,random_10,astropy_gaussian,0.0008908544294334129,0.01089307519568918,0.26507280854590276,1.0,158.4064170019701,0.10028888888888889,720,1000,0.5,5.0
smooth,random_10,iterative_dct,1.7378962543444487e-05,5.0600172993278905e-05,0.0013417714170803619,1.0,53.473749896511436,0.10028888888888889,720,1000,0.5,5.0
smooth,random_30,linear_1d_az,5.382504958027551e-05,0.00010537059303915338,0.0029303676429948133,1.0,28.882124926894903,0.2999291666666667,720,1000,0.5,5.0
smooth,random_30,linear_2d_griddata,4.761964217890283e-06,1.3992569339217777e-05,0.0012963070799003537,1.0,26119.663125020452,0.2999291666666667,720,1000,0.5,5.0
smooth,random_30,astropy_gaussian,0.0010425433743750695,0.010580809622145993,0.3297309308145581,1.0,328.83229199796915,0.2999291666666667,720,1000,0.5,5.0
smooth,random_30,iterative_dct,2.375674014557638e-05,6.229902350271705e-05,0.0016170994989624932,1.0,111.44808295648545,0.2999291666666667,720,1000,0.5,5.0
smooth,random_50,linear_1d_az,0.00010633694975513427,0.00023848629647485743,0.00558483770580398,1.0,35.297582973726094,0.4999958333333333,720,1000,0.5,5.0
smooth,random_50,linear_2d_griddata,8.27373621711637e-06,2.5441326519776328e-05,0.0033500764992032486,1.0,19433.026375016198,0.4999958333333333,720,1000,0.5,5.0
smooth,random_50,astropy_gaussian,0.0012360353933955832,0.01086272424949578,0.39983242876830505,1.0,475.7661250187084,0.4999958333333333,720,1000,0.5,5.0
smooth,random_50,iterative_dct,2.978146296663565e-05,7.244538107599204e-05,0.003700534479164158,1.0,111.48454202339053,0.4999958333333333,720,1000,0.5,5.0
smooth,random_70,linear_1d_az,0.00029297520884891896,0.000756517526913789,0.03121629581579255,1.0,28.725750045850873,0.7001180555555555,720,1000,0.5,5.0
smooth,random_70,linear_2d_griddata,1.6461569856415094e-05,3.967344359906863e-05,0.004526639092816018,1.0,9707.576166954823,0.7001180555555555,720,1000,0.5,5.0
smooth,random_70,astropy_gaussian,0.0015814175238716176,0.011749805661356265,0.5301919255203879,1.0,296.3494580471888,0.7001180555555555,720,1000,0.5,5.0
smooth,random_70,iterative_dct,5.193032621749491e-05,0.00011784182477183056,0.009307403978965602,1.0,144.72525008022785,0.7001180555555555,720,1000,0.5,5.0
smooth,hole_circular,linear_1d_az,0.030737461767255034,0.03541178578258136,0.06259491521903826,1.0,16.974334022961557,0.02582638888888889,720,1000,0.5,5.0
smooth,hole_circular,linear_2d_griddata,0.016155405635397666,0.018463036443955815,0.0326468683792579,1.0,36572.43741606362,0.02582638888888889,720,1000,0.5,5.0
smooth,hole_circular,astropy_gaussian,0.006683152522051536,0.007799540501090106,0.02144022718529137,0.19757999462221026,98.62495900597423,0.02582638888888889,720,1000,0.5,5.0
smooth,hole_circular,iterative_dct,0.03141733614757256,0.03657160678852678,0.06517396277487086,1.0,58.65787493530661,0.02582638888888889,720,1000,0.5,5.0
smooth,hole_rect,linear_1d_az,0.042816197510212914,0.049594753660434955,0.10412988233463005,1.0,24.632208049297333,0.03304722222222222,720,1000,0.5,5.0
smooth,hole_rect,linear_2d_griddata,0.015863008835368297,0.019343936155900045,0.03671372566978692,1.0,35701.84620900545,0.03304722222222222,720,1000,0.5,5.0
smooth,hole_rect,astropy_gaussian,0.006603091247994432,0.007931159592570493,0.023444541240932315,0.194460788434059,87.56891696248204,0.03304722222222222,720,1000,0.5,5.0
smooth,hole_rect,iterative_dct,0.03495038659678881,0.04196526568063695,0.07670254159873413,1.0,41.57558304723352,0.03304722222222222,720,1000,0.5,5.0
smooth,sector_10deg,linear_1d_az,0.0014920740466582187,0.0021744978717392074,0.005570587558084983,1.0,16.860750038176775,0.027777777777777776,720,1000,0.5,5.0
smooth,sector_10deg,linear_2d_griddata,0.0009952249331355858,0.0014403086983508623,0.003917896782022631,1.0,34229.65145809576,0.027777777777777776,720,1000,0.5,5.0
smooth,sector_10deg,astropy_gaussian,0.016555366283743333,0.02284947605381098,0.20424093798983783,0.6,90.49483307171613,0.027777777777777776,720,1000,0.5,5.0
smooth,sector_10deg,iterative_dct,0.0014953484385491999,0.0021750780885504014,0.005571468914823657,1.0,64.11687494255602,0.027777777777777776,720,1000,0.5,5.0
mixed,random_10,linear_1d_az,0.002062082489577276,0.0034443699023279867,0.08229892753230032,1.0,25.1717499922961,0.10028888888888889,720,1000,0.5,5.0
mixed,random_10,linear_2d_griddata,7.830911413398167e-05,0.0001338029085293761,0.007067145539468772,1.0,30902.19383290969,0.10028888888888889,720,1000,0.5,5.0
mixed,random_10,astropy_gaussian,0.004325271545862641,0.012243624532088727,0.281320802827109,1.0,158.0722910584882,0.10028888888888889,720,1000,0.5,5.0
mixed,random_10,iterative_dct,0.00029413647345375273,0.000388452239581204,0.007392029112514527,1.0,109.59745896980166,0.10028888888888889,720,1000,0.5,5.0
mixed,random_30,linear_1d_az,0.0032326642729739907,0.0059615208633143416,0.10595859936088917,1.0,29.098209110088646,0.2999291666666667,720,1000,0.5,5.0
